# time,x_gt,y_gt,yaw_gt,speed_gt,omega_gt,x_ekf,y_ekf,tracking_error,localization_error
1.727620000000000005e+02,1.527573869078419078e+00,3.948403527440033756e+00,-1.464008698963674915e+00,2.001142823062719567e-01,2.291842555381267202e-02,1.532416132648818152e+00,3.968346755483935784e+00,2.079244104117620312e-02,2.052266701226461779e-02
1.727820000000000107e+02,1.528001124459687388e+00,3.944425858544377661e+00,-1.463556702114459762e+00,2.001197197768166680e-01,2.285890653458469771e-02,1.532657938068950676e+00,3.964908628765269061e+00,2.108387262375847893e-02,2.100547045208117636e-02
1.728019999999999925e+02,1.528430166401549162e+00,3.940448400145636576e+00,-1.463104544671811391e+00,2.001180535510290737e-01,2.289224150467296034e-02,1.532899743489082756e+00,3.961470502046607223e+00,2.137709690349432964e-02,2.149199589791974188e-02
1.728220000000000027e+02,1.528860851750620586e+00,3.936471107381194212e+00,-1.462650968357056991e+00,2.001139120156002760e-01,2.298451327108278625e-02,1.533141548909215279e+00,3.958032375327940500e+00,2.167196928107198786e-02,2.198209825369247181e-02
1.728420000000000130e+02,1.529293117355008835e+00,3.932493945744770514e+00,-1.462194955789898776e+00,2.001082279304899625e-01,2.311158491518645192e-02,1.533368922396224132e+00,3.954146923302125582e+00,2.196842546517385406e-02,2.203323906812882510e-02
1.728619999999999948e+02,1.529726908482802017e+00,3.928516868048665955e+00,-1.461737614397758067e+00,2.000985269692313051e-01,2.305448582317617956e-02,1.533592687899951734e+00,3.950149639949529945e+00,2.225740309601729333e-02,2.197546519682504890e-02
1.728820000000000050e+02,1.530162223867434168e+00,3.924539920669966708e+00,-1.461279779526595046e+00,2.000935185344225320e-01,2.317981865767283073e-02,1.533816453403679558e+00,3.946152356596928534e+00,2.247797737851101735e-02,2.191918748951699608e-02
1.729019999999999868e+02,1.530599127887521060e+00,3.920563086939463204e+00,-1.460819035487950890e+00,2.000875264713908308e-01,2.331251059255427804e-02,1.534040218907407160e+00,3.942155073244332897e+00,2.270014411101828680e-02,2.186446843618250827e-02
1.729219999999999970e+02,1.531037631451122705e+00,3.916586371098069730e+00,-1.460355463196103987e+00,2.000817237284766015e-01,2.344171475455110801e-02,1.534263984411135207e+00,3.938157789891731486e+00,2.292391441410035827e-02,2.181136085149491463e-02
1.729420000000000073e+02,1.531477756954307212e+00,3.912609777773892183e+00,-1.459889158944152499e+00,2.000761567383248785e-01,2.356499603392111369e-02,1.534495712018975722e+00,3.934160999581917117e+00,2.314931090051094986e-02,2.176150762679478906e-02
1.729619999999999891e+02,1.531919733309940579e+00,3.908633737600889280e+00,-1.459430016156867183e+00,1.998734606870532782e-01,2.189871689289511064e-02,1.534729430152844243e+00,3.930164332532805282e+00,2.337658533547226983e-02,2.171315072648992428e-02
1.729819999999999993e+02,1.532364259885937496e+00,3.904658759475424290e+00,-1.458995042363514072e+00,1.999675216668855282e-01,2.181723931172383640e-02,1.534963148286712986e+00,3.926167665483687674e+00,2.360646347042227866e-02,2.166534695295678839e-02
1.730020000000000095e+02,1.532810204845286073e+00,3.900683835461533633e+00,-1.458557960632528072e+00,1.999722125136730866e-01,2.188838133490410634e-02,1.535196866420581729e+00,3.922170998434570066e+00,2.383776084488395050e-02,2.161930447782306822e-02
